City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,homestead meadows north,31.8496,-106.1729,22.71,14,20,6.69,US,1701983745
83,fonte boa,-2.4959,-66.2662,26.8,93,87,0.65,BR,1701983745
84,sitangkai,4.6628,119.3928,27.43,82,85,4.78,PH,1701983746
85,ghat,24.9647,10.1728,16.45,31,0,2.97,LY,1701983746
86,ancud,-41.8697,-73.8203,14.78,63,0,4.22,CL,1701983746
87,guerrero negro,27.9769,-114.0611,20.83,62,0,8.59,MX,1701983746
88,tazovsky,67.4667,78.7,-25.33,96,96,4.93,RU,1701983746
89,vodnyy,63.5046,53.4095,-31.99,100,26,1.28,RU,1701983746
90,nouadhibou,20.931,-17.0347,23.99,43,6,6.17,MR,1701983746
91,ribeira grande,38.5167,-28.7,18.22,88,75,9.39,PT,1701983747
92,tolanaro,-25.0319,46.9987,23.18,81,89,6.48,MG,1701983747
93,muriti,-1.9833,32.9167,23.19,72,26,2.05,TZ,1701983747
94,tura,25.5198,90.2201,15.92,96,100,2.08,IN,1701983747
95,vila franca do campo,37.7167,-25.4333,18.27,99,97,3.42,PT,1701983747
96,cabo san lucas,22.8909,-109.9124,29.78,48,0,3.09,MX,1701983506
97,keflavik,64.0049,-22.5624,2.24,51,0,2.06,IS,1701983747
98,rikaze,29.25,88.8833,-1.28,92,90,0.58,CN,1701983747
99,hamilton,39.1834,-84.5333,14.0,53,0,5.66,US,1701983748
100,luderitz,-26.6481,15.1594,16.95,81,0,6.41,NA,1701983453
101,ad dawadimi,24.5077,44.3924,15.64,22,0,3.16,SA,1701983748
102,olyokminsk,60.3736,120.4264,-33.64,97,100,0.62,RU,1701983748
103,blackmans bay,-43.0167,147.3167,14.07,83,100,0.45,AU,1701983748
104,jamestown,42.097,-79.2353,4.77,79,100,3.09,US,1701983566
105,severo-yeniseyskiy,60.3725,93.0408,-31.9,93,97,1.34,RU,1701983748
106,namibe,-15.1961,12.1522,22.99,79,97,3.42,AO,1701983748
107,atlantic city,39.3643,-74.4229,5.01,75,100,3.09,US,1701983748
108,hammerfest,70.6634,23.6821,-4.75,63,0,6.17,NO,1701983748
109,ust-nera,64.5667,143.2,-35.34,93,100,1.93,RU,1701983749
110,aripuana,-9.1667,-60.6333,34.78,40,67,0.88,BR,1701983749
111,udachny,66.4167,112.4,-25.31,75,100,1.36,RU,1701983749
112,acapulco de juarez,16.8634,-99.8901,29.9,74,75,4.12,MX,1701983686
113,rancho palos verdes,33.7445,-118.387,21.11,73,20,6.17,US,1701983749
114,egilsstadir,65.2653,-14.3948,-2.05,59,20,5.14,IS,1701983749
115,weno,7.4515,151.8468,25.97,100,100,4.63,FM,1701983749
116,namtsy,62.7161,129.6658,-35.76,90,100,1.91,RU,1701983749
117,yuzhno-kurilsk,44.0306,145.8556,3.54,89,99,13.08,RU,1701983749
118,mata-utu,-13.2816,-176.1745,28.34,80,48,6.2,WF,1701983750
119,kerikeri,-35.2268,173.9474,18.84,76,9,0.45,NZ,1701983750
120,posto fiscal rolim de moura,-13.0833,-62.2667,28.12,72,68,3.89,BR,1701983750
121,dubai,25.2582,55.3047,23.96,57,0,2.06,AE,1701983706
122,isafjordur,66.0755,-23.124,-0.97,75,94,5.34,IS,1701983750
123,la'ie,21.6477,-157.9253,28.34,67,25,1.34,US,1701983750
124,tadine,-21.55,167.8833,24.07,73,100,8.13,NC,1701983750
125,vorgashor,67.5833,63.95,-26.06,98,100,2.04,RU,1701983750
126,gadzhiyevo,69.2551,33.3362,-14.3,96,92,6.57,RU,1701983750
127,puerto quijarro,-17.7833,-57.7667,30.6,52,90,1.19,BO,1701983750
128,gisborne,-38.6533,178.0042,16.86,64,100,2.13,NZ,1701983751
129,pearsall,28.8922,-99.095,23.66,55,100,7.07,US,1701983751
130,nantucket,41.2835,-70.0995,-0.94,67,0,5.14,US,1701983631
131,lucea,18.451,-78.1736,29.36,72,49,8.26,JM,1701983751
132,ati,13.2154,18.3353,25.22,14,9,4.64,TD,1701983751
133,cox's bazar,21.4532,91.9798,23.12,94,94,1.08,BD,1701983589
134,kailua-kona,19.6406,-155.9956,28.61,71,75,4.63,US,1701983751
135,la passe,45.5549,-0.8967,12.23,95,100,4.08,FR,1701983751
136,maracacume,-2.0428,-45.9592,28.84,64,97,2.5,BR,1701983752
137,chibougamau,49.9168,-74.3659,-15.21,85,0,1.03,CA,1701983752
138,tegueste,28.5167,-16.3167,16.71,84,20,2.06,ES,1701983752
139,puerto baquerizo moreno,-0.9,-89.6,26.55,74,75,6.17,EC,1701983546
140,pisco,-13.7,-76.2167,23.03,68,0,9.26,PE,1701983460
141,fish town,5.1964,-7.8756,23.4,92,42,1.54,LR,1701983752
142,katsuren-haebaru,26.3369,127.8719,17.01,63,0,3.33,JP,1701983752
143,kargasok,59.0556,80.8572,-24.46,91,100,3.58,RU,1701983752
144,invercargill,-46.4,168.35,14.49,58,93,3.9,NZ,1701983752
145,fortuna,40.5982,-124.1573,13.29,80,40,1.34,US,1701983752
146,shache,38.4167,77.2406,7.62,15,98,2.47,CN,1701983752
147,mount pearl,47.5166,-52.7813,-2.7,91,100,7.2,CA,1701983555
148,kununurra,-15.7667,128.7333,26.99,83,89,3.09,AU,1701983753
149,san andres,12.5847,-81.7006,31.01,62,20,4.63,CO,1701983753
150,gronau,52.2,7.0333,2.08,78,100,1.34,DE,1701983753
151,bayganin,48.6947,55.8742,-8.04,74,100,5.18,KZ,1701983753
152,avarua,-21.2078,-159.775,26.03,69,75,7.2,CK,1701983753
153,petropavlovsk-kamchatsky,53.0452,158.6483,-7.53,72,75,2.24,RU,1701983753
154,mogocha,53.7333,119.7667,-25.69,89,100,1.36,RU,1701983753
155,najaf,31.9985,44.3398,18.73,35,90,2.9,IQ,1701983753
156,al bayda',32.7627,21.7551,10.47,96,29,2.47,LY,1701983753
157,bodden town,19.2833,-81.25,29.0,74,75,7.2,KY,1701983754
158,tralee,52.2704,-9.7026,8.14,87,40,7.2,IE,1701983754
159,sao paulo de olivenca,-3.3783,-68.8725,27.55,79,94,1.32,BR,1701983754
160,maceio,-9.6658,-35.7353,26.69,83,20,4.12,BR,1701983495
161,labrador city,52.9463,-66.9114,-11.05,85,75,4.63,CA,1701983754
162,sragen,-7.4264,111.0222,24.53,92,99,2.84,ID,1701983754
163,haimen,23.1935,116.6142,10.94,79,91,3.22,CN,1701983754
164,maffra,-37.9667,146.9833,18.69,79,100,0.74,AU,1701983754
165,flying fish cove,-10.4217,105.6791,24.82,83,40,1.54,CX,1701983754
166,afua,-0.1567,-50.3867,27.54,78,100,3.4,BR,1701983478
167,san patricio,28.017,-97.5169,24.4,55,100,7.06,US,1701983755
168,tongliao,43.6125,122.2653,0.8,77,58,6.43,CN,1701983755
169,ilulissat,69.2167,-51.1,-2.99,63,20,0.0,GL,1701983755
170,gandarbal,34.2333,74.7833,3.44,24,27,1.62,IN,1701983731
171,plainview,40.7765,-73.4673,3.9,77,100,5.14,US,1701983710
172,freetown,8.484,-13.2299,26.83,78,1,2.94,SL,1701983755
173,pulandian,39.3953,121.9669,5.53,94,0,1.75,CN,1701983755
174,neiafu,-18.65,-173.9833,29.38,74,40,3.6,TO,1701983755
175,jinghong,21.991,100.7341,19.06,97,75,0.36,CN,1701983755
176,burunday,43.3603,76.8578,-2.08,86,100,2.0,KZ,1701983755
177,howard springs,-12.497,131.047,25.95,95,89,1.22,AU,1701983756
178,sandnessjoen,66.0217,12.6316,-0.88,80,75,3.09,NO,1701983756
179,nova aurora,-22.8667,-52.5667,24.1,85,100,1.67,BR,1701983756
180,new norfolk,-42.7826,147.0587,14.72,55,100,1.02,AU,1701983756
181,laojunmiao,39.8333,97.7333,-1.62,31,56,1.19,CN,1701983756
182,uacu cungo,-11.3634,15.1208,17.98,97,87,0.86,AO,1701983756
183,polyarnyy,69.1989,33.4478,-13.7,94,89,6.89,RU,1701983756
184,puerto ayora,-0.7393,-90.3518,28.98,93,98,1.79,EC,1701983756
185,hilo,19.7297,-155.09,26.85,75,75,6.17,US,1701983756
186,mili,6.0815,171.735,27.93,83,51,8.66,MH,1701983756
187,canoinhas,-26.1772,-50.39,20.62,99,100,0.53,BR,1701983757
188,nemuro,43.3236,145.575,1.08,61,65,13.73,JP,1701983757
189,punta arenas,-53.15,-70.9167,11.06,66,0,5.14,CL,1701983578
190,pangody,65.85,74.4859,-20.15,98,100,5.75,RU,1701983757
191,nizhnevartovsk,60.9344,76.5531,-33.99,75,0,2.0,RU,1701983757
192,kitakata,37.65,139.8667,6.58,93,95,3.66,JP,1701983757
193,divnogorsk,55.9594,92.3619,-29.03,97,100,1.89,RU,1701983757
194,walvis bay,-22.9575,14.5053,16.72,80,2,5.7,NA,1701983757
195,georgetown,5.4112,100.3354,25.96,92,20,1.54,MY,1701983757
196,juba,4.8517,31.5825,27.99,40,16,1.48,SS,1701983757
197,ozurgeti,41.9231,42.0059,13.51,73,100,1.41,GE,1701983758
198,saint-pierre,-21.3393,55.4781,25.32,88,100,1.54,RE,1701983758
199,lagoa,39.05,-27.9833,17.19,77,100,11.2,PT,1701983758
200,ar ruways,24.1103,52.7306,22.57,53,0,3.55,AE,1701983758
201,cabedelo,-6.9811,-34.8339,28.37,74,99,5.0,BR,1701983654
202,ad duraykish,34.8967,36.1329,13.86,90,100,0.92,SY,1701983758
203,remire-montjoly,4.9167,-52.2667,28.02,83,40,5.14,GF,1701983758
204,dudinka,69.4058,86.1778,-24.62,98,16,4.92,RU,1701983758
205,mahina,-17.5065,-149.489,28.87,74,75,7.72,PF,1701983758
206,cromer,52.9312,1.2989,6.0,100,100,5.81,GB,1701983759
207,rosarito,32.3333,-117.0333,20.13,70,29,3.59,MX,1701983705
208,yaren,-0.5472,166.916,26.07,88,100,3.75,NR,1701983759
209,utrik,11.2278,169.8474,27.55,81,40,10.54,MH,1701983759
210,aral,40.5156,81.2636,2.89,37,14,3.88,CN,1701983759
211,colonia,50.9333,6.95,2.68,83,20,6.17,DE,1701983759
212,midvagur,62.0511,-7.1939,6.46,75,75,11.83,FO,1701983759
213,mezhdurechenskiy,59.6,65.9333,-32.72,94,19,1.76,RU,1701983759
214,nishinoomote,30.7333,131.0,15.25,51,0,2.66,JP,1701983759
215,xishan,27.6667,113.5,11.23,55,9,1.5,CN,1701983759
216,east london,-33.0153,27.9116,22.2,88,45,4.24,ZA,1701983760
217,kone,-21.0595,164.8658,25.65,55,100,3.33,NC,1701983760
218,ardestan,33.3761,52.3694,10.51,28,10,0.59,IR,1701983760
219,lake havasu city,34.4839,-114.3224,23.84,26,100,3.09,US,1701983641
220,dakhla,23.6848,-15.958,20.01,83,82,9.77,EH,1701983760
221,ruteng,-8.6136,120.4721,17.39,92,64,0.71,ID,1701983760
222,leshan,29.5623,103.7639,13.19,81,99,0.8,CN,1701983760
223,dukku,10.8231,10.7717,22.87,18,8,2.52,NG,1701983761
224,kidal,18.4411,1.4078,24.64,12,27,2.55,ML,1701983761
225,port-cartier,50.0334,-66.8654,-6.18,85,6,2.85,CA,1701983761
226,esquel,-42.9,-71.3167,23.19,35,13,2.17,AR,1701983663
227,kapuskasing,49.4169,-82.4331,-0.95,86,100,2.57,CA,1701983462
228,hermanus,-34.4187,19.2345,18.89,87,26,4.32,ZA,1701983761
229,richards bay,-28.783,32.0377,21.8,93,100,7.34,ZA,1701983761
230,murzuq,25.9155,13.9184,15.15,32,10,4.83,LY,1701983762
231,antofagasta,-23.65,-70.4,19.6,71,9,4.56,CL,1701983740
232,nikolayevsk-on-amure,53.1406,140.73,-9.0,91,100,5.14,RU,1701983762
233,pacific grove,36.6177,-121.9166,16.71,70,0,3.6,US,1701983515
234,emporia,38.4039,-96.1817,20.11,40,0,9.26,US,1701983762
235,ambam,2.3833,11.2833,20.66,97,70,0.33,CM,1701983486
236,karratha,-20.7377,116.8463,29.77,28,3,6.08,AU,1701983763
237,le port,-20.9373,55.2919,25.98,98,59,1.4,RE,1701983763
238,keyser,39.4409,-78.9739,11.26,51,14,1.79,US,1701983763
239,phan rang-thap cham,11.5667,108.9833,22.61,83,92,2.79,VN,1701983763
240,tual,-5.6667,132.75,28.84,70,97,0.6,ID,1701983764
241,nar'yan-mar,67.6713,53.087,-14.38,96,100,3.58,RU,1701983764
242,labuan bajo,-8.4964,119.8877,26.01,87,52,4.29,ID,1701983764
243,hakodate,41.7758,140.7367,0.88,61,80,9.93,JP,1701983765
244,isla mujeres,21.2311,-86.731,25.09,70,100,4.64,MX,1701983765
245,tsiombe,-25.3,45.4833,22.58,80,68,7.76,MG,1701983765
246,justo daract,-33.8594,-65.1828,30.15,20,0,7.09,AR,1701983765
247,morehead city,34.7229,-76.726,13.0,59,0,3.6,US,1701983746
248,nova sintra,14.8667,-24.7167,21.73,72,100,5.05,CV,1701983765
249,nyurba,63.2842,118.3319,-51.52,100,70,0.48,RU,1701983766
250,luau,-10.7073,22.2247,18.41,95,59,1.45,AO,1701983766
251,kalevala,65.2,31.1667,-18.84,100,97,1.34,RU,1701983766
252,san luis,-33.295,-66.3356,29.76,19,3,6.8,AR,1701983516
253,coquimbo,-29.9533,-71.3436,17.85,72,40,5.14,CL,1701983740
254,kihancha,-1.1838,34.6262,18.75,86,98,1.3,KE,1701983767
255,marsh harbour,26.5412,-77.0636,21.79,55,45,4.97,BS,1701983767
256,ganshui,28.7422,106.7111,13.22,72,91,0.13,CN,1701983767
257,iskateley,67.6803,53.1512,-14.43,96,100,3.58,RU,1701983767
258,carloforte,39.145,8.3058,14.39,65,52,1.34,IT,1701983768
259,west bay,19.3667,-81.4167,29.04,74,75,7.2,KY,1701983768
260,new plymouth,-39.0667,174.0833,16.29,64,98,1.84,NZ,1701983768
261,usinsk,65.9939,57.5281,-19.96,99,100,3.13,RU,1701983768
262,chonchi,-42.6128,-73.8092,18.56,48,0,0.96,CL,1701983768
263,greymouth,-42.4667,171.2,14.93,57,65,1.8,NZ,1701983769
264,howrah,22.5892,88.3103,19.0,94,75,2.06,IN,1701983769
265,kutum,14.2,24.6667,17.98,16,74,2.81,SD,1701983769
266,beni,0.5,29.4667,17.19,99,82,0.98,CD,1701983770
267,cafayate,-26.073,-65.9761,22.02,56,94,4.87,AR,1701983770
268,gaspe,48.8334,-64.4819,-3.58,73,93,6.73,CA,1701983480
269,antsiranana,-12.2787,49.2917,26.34,77,58,6.5,MG,1701983770
270,mil'kovo,55.6078,37.7956,-11.78,100,98,1.81,RU,1701983770
271,batangafo,7.3008,18.2833,25.71,37,74,0.05,CF,1701983771
272,urangan,-25.3,152.9,24.39,72,8,6.26,AU,1701983771
273,shevchenko,48.5,35.0,-0.22,86,100,6.56,UA,1701983716
274,lucieni,44.85,25.4333,1.29,99,100,1.77,RO,1701983771
275,dadukou,26.5479,101.7054,12.34,84,93,0.68,CN,1701983771
276,arkhara,49.4212,130.0842,-19.02,93,100,1.79,RU,1701983772
277,benguela,-12.5763,13.4055,26.55,82,100,2.07,AO,1701983772
278,bargaal,11.2864,51.0773,23.98,65,96,4.85,SO,1701983772
279,lisala,2.15,21.5167,21.81,97,97,0.98,CD,1701983772
280,xiva,41.3783,60.3639,-4.01,35,100,6.78,UZ,1701983772
281,toliara,-23.35,43.6667,26.0,62,12,4.27,MG,1701983773
282,pemangkat,1.1667,108.9667,25.65,87,99,1.76,ID,1701983773
283,kangding,30.0513,101.9603,8.54,53,100,2.17,CN,1701983773
284,ugoofaaru,5.6667,73.0,28.53,78,100,11.44,MV,1701983774
285,ladario,-19.0047,-57.6017,31.16,62,0,2.57,BR,1701983748
286,tamanrasset,22.785,5.5228,13.95,15,0,2.57,DZ,1701983774
287,margate,51.3813,1.3862,7.72,90,100,5.36,GB,1701983774
288,farasan,16.7022,42.1183,27.73,64,49,2.61,SA,1701983774
289,puerto deseado,-47.7503,-65.8938,11.79,62,0,4.31,AR,1701983491
290,arraial do cabo,-22.9661,-42.0278,29.98,65,0,7.2,BR,1701983775
291,valparaiso,-33.0393,-71.6273,20.0,68,20,6.17,CL,1701983772
292,hotan,37.0997,79.9269,8.57,8,8,3.92,CN,1701983775
293,saldanha,-33.0117,17.9442,17.19,92,0,4.49,ZA,1701983775
294,babura,12.7731,9.0158,23.99,15,92,3.54,NG,1701983775
295,chinde,26.8418,88.0763,10.79,83,91,0.86,NP,1701983775
296,axim,4.8699,-2.2405,26.88,80,66,3.02,GH,1701983776
297,vera,-29.4593,-60.2126,27.89,53,1,4.25,AR,1701983776
298,cowra,-33.8333,148.6833,25.25,47,73,1.1,AU,1701983776
299,ukholovo,53.7929,40.4892,-16.98,96,16,3.21,RU,1701983776
300,port isabel,26.0734,-97.2086,24.02,75,100,7.72,US,1701983596
301,khanty-mansiysk,61.0042,69.0019,-36.94,67,100,2.0,RU,1701983777
302,basco,20.4487,121.9702,24.91,82,100,9.83,PH,1701983777
303,labuan,5.2767,115.2417,25.2,94,40,1.54,MY,1701983777
